sigla , unidade_curricular
AJT, Ajustagem e Torno   
AUT, Automação 
AADM, Auxiliar Administrativo  
AEI, Auxiliar de Eletricista Industrial  
AUME, Auxíliar de Mecânica 
AUMEI, Auxiliar de Mecânica Industrial 
AUXPA, Auxiliar de Produção de Alimentos 
AUXI, Auxiliar Informática  
CA, Construtor de Alvenaria 
CPP, Controlador e Programador de Produção  
DS, Desenvolvimento de sistemas 
EI, Eletricista Industrial  
ELMEC, Eletromecânica 
FA, Ferramentaria Avançada  
FQUA, Ferramentas da Qualidade  
FD, Ferramenteiro de Dispositivos  
ID, Inclusão Digital  
IB, Informática Básica  
ITT, Inovações e Tendências Tecnológicas 
IF, Inversores de Frequência  
MS, Manutenção e solda 
MEC, MECÂNICA 
MECT, Mecatrônica  
NEM, NEM  
ONES, One SubSea 
OMI, Operação de Máquinas Injetoras 
OPDL, Operador de Processos de Distribuição Logística 
PCLP, Programação CLP 
PSETR, Projeto SETR - Industria 4.0  
QUA, Qualidade 
SPE, Sistema de Produção Enxuto - Turma 
SOL, Soldador  
TORM, Torneiro Mecânico 
TORN, Torno  
