sigla, unidad_curricular, curso_modulo
SPI-CA, Sustentabilidade nos processos Industriais, Construtor de Alvenaria
FTIC-CA, Fundamentos da Tecnologia da Informação e Comunicação, Construtor de Alvenaria
FI-CA, Fundamentos da Industria 4.0, Construtor de Alvenaria
SST-CA, Saúde e Segurança no Trabalho, Construtor de Alvenaria
FQP-CA, Fundamentos da Qualidade e Produtividade, Construtor de Alvenaria
FTCCE-CA, Fundamentos e Tecnologias da construção civil - Edificações, Construtor de Alvenaria
MEI-MILLS, MANUTENÇÃO DE EQUIPAMENTOS INDUSTRIAIS, Tranformar Mills
AJ2, Ajustagem, Ajustagem - Turma 2 - Prefeitura
EA-CA, Elevação de Alvenarias, Construtor de Alvenaria
CEFRE-CA, Construção de Elementos de Fundação Rasa e Estruturais, Construtor de Alvenaria
ILPP-CA, Instalação de Lajes Pré moldadas e pré fabricadas, Construtor de Alvenaria
TOR2N, Tornearia Convencional, 2° Técnico em Mecânica - Presencial
TOR4, Torneiro Mecânico, Torneiro Mecânico - Turma 4 - Prefeitura
FRE2N, Fresagem Convencional , 2° Técnico em Mecânica - Presencial
IRQ-1Q, Implementação das Rotinas da Qualidade, 1° Qualidade EAD - Sexta
FQAP-1Q, Fundamentos da Qualidade Aplicadas nos Processos (APP), 1° Qualidade EAD - Sexta
FQ2, Ferramentas da Qualidade, Ferramentas da Qualidade 2
MPI-1Q, Mapeamento de Processos Industriais, 1° Qualidade EAD - Segunda
FQAP1QSEG, Fundamentos da Qualidade Aplicadas nos Processos (APP), 1° Qualidade EAD - Segunda
FQ1, Ferramentas da Qualidade, Ferramentas da Qualidade 1
CIA-1M, Comunicação e Informática Aplicada, 1 ° Mecatrônica Presencial
INFOB1, Informática Básica, Informática Básica - Turma 1
RI-AA1, Relações Interpessoais, Auxiliar Administrativo - Turma 1
SST-AA1, Saúde e Segurança no Trabalho, Auxiliar Administrativo - Turma 1
ET-AA1, Ética e cidadania, Auxiliar Administrativo - Turma 1
MA-AA1, Meio ambiente, Auxiliar Administrativo - Turma 1
CI-1AQT, Criatividade e Inovação, 1° Administração - Quinta Tarde
PARD-1AQT, Processos Administrativos de RH e DP, 1° Administração - Quinta Tarde
SAEPO2A, SAEP - PROVA OBJETIVA, CLEVEROS
SAEPP2A, SAEP - PROVA PRÁTICA, 2° ADMINISTRAÇÃO
RI-AI2, Relações Interpessoais, Aux Info 2
SST-AI2, Saúde e Segurança no Trabalho, Aux Info 2
ET-AI2, Ética e cidadania, Aux Info 2
MA-AI2, Meio ambiente, Aux Info 2
CI, Criatividade e Ideação, Técnico em Administração
FQAP1QSEG, Fundamentos da Qualidade Aplicadas nos Processos (APP), 1° Qualidade EAD - Segunda
APP-2QS, Analise dos Processos e Produtos (APP), 2° Qualidade EAD - Sexta
GI - SOL3, Gestão Industrial , Soldador - Turma 3
GI - SOL4, Gestão Industrial , Soldador - Turma 4
RI-AI3, Relações Interpessoais, Aux Info 3
SST-AI3, Saúde e Segurança no Trabalho, Aux Info 3
ET-AI3, Ética e cidadania, Aux Info 3
MA-AI3, Meio ambiente, Aux Info 3
IIW-AI3, Introdução à Informática Windows, Aux Info 3
WB-AI3, Word Básico, Aux Info 3
EB-AI3, Excel Básico, Aux Info 3
PPB-AI3, Power Point Básico, Aux Info 3
